cohort,isolation_source,bin,secondary_cluster,variable,value
PosCtrl,MockCommunity,bins.1.fa,1255_2,R1,3358929.61324666
PosCtrl,MockCommunity,bins.10.fa,no_cluster,R1,55.1731018306668
PosCtrl,MockCommunity,bins.11.fa,no_cluster,R1,777726.834823334
PosCtrl,MockCommunity,bins.12.fa,1011_1,R1,455681.009025
PosCtrl,MockCommunity,bins.13.fa,no_cluster,R1,2533943.32695667
PosCtrl,MockCommunity,bins.14.fa,no_cluster,R1,653576.995056666
PosCtrl,MockCommunity,bins.15.fa,no_cluster,R1,0.470012955966666
PosCtrl,MockCommunity,bins.2.fa,228_1,R1,161676.137811667
PosCtrl,MockCommunity,bins.3.fa,366_1,R1,2.83061021514333
PosCtrl,MockCommunity,bins.4.fa,1222_1,R1,627588.647901667
PosCtrl,MockCommunity,bins.5.fa,1010_1,R1,2097630.20833667
PosCtrl,MockCommunity,bins.6.fa,no_cluster,R1,5842966.06294333
PosCtrl,MockCommunity,bins.7.fa,no_cluster,R1,624631.417183334
PosCtrl,MockCommunity,bins.8.fa,no_cluster,R1,1523858.30592
PosCtrl,MockCommunity,bins.9.fa,1254_1,R1,12629885.9967567
PosCtrl,Protexin,bins.1.fa,no_cluster,R1,2405378.81224333
PosCtrl,Protexin,bins.10.fa,no_cluster,R1,107405.351520667
PosCtrl,Protexin,bins.11.fa,289_5,R1,10.9965626959
PosCtrl,Protexin,bins.12.fa,no_cluster,R1,302051.211213333
PosCtrl,Protexin,bins.13.fa,no_cluster,R1,189323.837084333
PosCtrl,Protexin,bins.14.fa,no_cluster,R1,12.6413508068
PosCtrl,Protexin,bins.15.fa,no_cluster,R1,153507.79048
PosCtrl,Protexin,bins.16.fa,no_cluster,R1,53386.5836064
PosCtrl,Protexin,bins.17.fa,no_cluster,R1,243314.912002333
PosCtrl,Protexin,bins.18.fa,619_0,R1,250981.310029666
PosCtrl,Protexin,bins.19.fa,no_cluster,R1,3046118.94678667
PosCtrl,Protexin,bins.2.fa,no_cluster,R1,392353.030756668
PosCtrl,Protexin,bins.20.fa,no_cluster,R1,1034035.99669
PosCtrl,Protexin,bins.3.fa,no_cluster,R1,30985.9888286
PosCtrl,Protexin,bins.4.fa,no_cluster,R1,891255.568606667
PosCtrl,Protexin,bins.5.fa,no_cluster,R1,1053124.87288
PosCtrl,Protexin,bins.6.fa,no_cluster,R1,349404.469293333
PosCtrl,Protexin,bins.7.fa,no_cluster,R1,240408.63524
PosCtrl,Protexin,bins.8.fa,no_cluster,R1,123219.891456667
PosCtrl,Protexin,bins.9.fa,no_cluster,R1,3444081.85608
PosCtrl,ColiGuard,bins.1.fa,no_cluster,R1,3.55722052127
PosCtrl,ColiGuard,bins.10.fa,no_cluster,R1,6095339.85826667
PosCtrl,ColiGuard,bins.11.fa,no_cluster,R1,61.2198371517
PosCtrl,ColiGuard,bins.12.fa,no_cluster,R1,2292832.76993333
PosCtrl,ColiGuard,bins.13.fa,no_cluster,R1,1565270.10616667
PosCtrl,ColiGuard,bins.2.fa,655_1,R1,47.1478091547034
PosCtrl,ColiGuard,bins.3.fa,no_cluster,R1,524128.255570001
PosCtrl,ColiGuard,bins.4.fa,662_1,R1,960323.007266667
PosCtrl,ColiGuard,bins.5.fa,1254_1,R1,58.2653079807333
PosCtrl,ColiGuard,bins.6.fa,no_cluster,R1,17.0637169317667
PosCtrl,ColiGuard,bins.7.fa,1255_2,R1,70.0717134655666
PosCtrl,ColiGuard,bins.8.fa,no_cluster,R1,29.3234287730333
PosCtrl,ColiGuard,bins.9.fa,no_cluster,R1,1450947.86716667
PosCtrl,MockCommunity,bins.1.fa,1255_2,R2,888814.650675001
PosCtrl,MockCommunity,bins.10.fa,no_cluster,R2,0.4688900248
PosCtrl,MockCommunity,bins.11.fa,no_cluster,R2,173731.159886
PosCtrl,MockCommunity,bins.12.fa,1011_1,R2,145295.704540333
PosCtrl,MockCommunity,bins.13.fa,no_cluster,R2,608714.848906669
PosCtrl,MockCommunity,bins.14.fa,no_cluster,R2,158788.433110001
PosCtrl,MockCommunity,bins.15.fa,no_cluster,R2,0.634380149126666
PosCtrl,MockCommunity,bins.2.fa,228_1,R2,43329.6669355667
PosCtrl,MockCommunity,bins.3.fa,366_1,R2,3.91897631074
PosCtrl,MockCommunity,bins.4.fa,1222_1,R2,310454.779252334
PosCtrl,MockCommunity,bins.5.fa,1010_1,R2,366553.120493333
PosCtrl,MockCommunity,bins.6.fa,no_cluster,R2,1414872.71613666
PosCtrl,MockCommunity,bins.7.fa,no_cluster,R2,140484.919226666
PosCtrl,MockCommunity,bins.8.fa,no_cluster,R2,370504.44005
PosCtrl,MockCommunity,bins.9.fa,1254_1,R2,2688683.95378333
PosCtrl,Protexin,bins.1.fa,no_cluster,R2,1069578.90885333
PosCtrl,Protexin,bins.10.fa,no_cluster,R2,84390.3854473334
PosCtrl,Protexin,bins.11.fa,289_5,R2,5133.87942461334
PosCtrl,Protexin,bins.12.fa,no_cluster,R2,180840.683973
