lower,upper,comparison,estimate,se,p.val.adj,p.val.raw,group1,group2,variable,y.position
0.5054,0.7193,t2-t0,0.61,0.1,0,0,t0,t2,Shannon,5.2
0.0823,0.3265,t4-t2,0.2,0.12,0.017,0.0011,t2,t4,Shannon,5.4
0.0581,0.3084,t6-t4,0.18,0.12,0.0654,0.0044,t4,t6,Shannon,5.6
-0.1391,0.1035,t8-t6,-0.02,0.12,1,0.7722,t6,t8,Shannon,5.8
-0.2565,-0.03,t10-t8,-0.14,0.12,0.2042,0.0136,t8,t10,Shannon,6
0.0218,0.0379,t2-t0,0.03,0.01,0,0,t0,t2,Simpson,1.02
-0.0086,0.0109,t4-t2,0,0.01,1,0.8108,t2,t4,Simpson,1.04
0.0012,0.0201,t6-t4,0.01,0.01,0.4125,0.0275,t4,t6,Simpson,1.06
-0.0108,0.0039,t8-t6,0,0.01,1,0.3599,t6,t8,Simpson,1.08
-0.008,0.0067,t10-t8,0,0.01,1,0.8662,t8,t10,Simpson,1.1
-12.5408,25.0413,t2-t0,6.25,18.79,1,0.5129,t0,t2,Chao1,300
-4.1822,31.254,t4-t2,13.54,17.72,1,0.1336,t2,t4,Chao1,320
21.9953,52.4675,t6-t4,37.23,15.23,0,0,t4,t6,Chao1,340
-14.6825,12.1431,t8-t6,-1.27,13.41,1,0.8518,t6,t8,Chao1,360
-13.6363,13.094,t10-t8,-0.27,13.37,1,0.9681,t8,t10,Chao1,380
