"group1","group2","p_value","enzID","test","p_adj_method"
"t1","t0",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t10","t0",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t10","t1",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t2","t0",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t2","t1",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t2","t10",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t3","t0",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t3","t1",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t3","t10",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t3","t2",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t4","t0",0.00310728296978342,"AA10","pairwise.wilcox.test","Bonferroni"
"t4","t1",0.661516956103755,"AA10","pairwise.wilcox.test","Bonferroni"
"t4","t10",2.10009636630423e-05,"AA10","pairwise.wilcox.test","Bonferroni"
"t4","t2",0.00106482442971706,"AA10","pairwise.wilcox.test","Bonferroni"
"t4","t3",0.116358358371915,"AA10","pairwise.wilcox.test","Bonferroni"
"t5","t0",0.641945876661255,"AA10","pairwise.wilcox.test","Bonferroni"
"t5","t1",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t5","t10",0.835845947501245,"AA10","pairwise.wilcox.test","Bonferroni"
"t5","t2",0.716241582622961,"AA10","pairwise.wilcox.test","Bonferroni"
"t5","t3",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t5","t4",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t6","t0",0.666064590658828,"AA10","pairwise.wilcox.test","Bonferroni"
"t6","t1",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t6","t10",0.112283362827805,"AA10","pairwise.wilcox.test","Bonferroni"
"t6","t2",0.785018418691028,"AA10","pairwise.wilcox.test","Bonferroni"
"t6","t3",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t6","t4",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t6","t5",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t7","t0",0.622111072724242,"AA10","pairwise.wilcox.test","Bonferroni"
"t7","t1",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t7","t10",0.0233206744322462,"AA10","pairwise.wilcox.test","Bonferroni"
"t7","t2",0.472748091854715,"AA10","pairwise.wilcox.test","Bonferroni"
"t7","t3",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t7","t4",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t7","t5",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t7","t6",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t8","t0",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t8","t1",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t8","t10",0.778161532681811,"AA10","pairwise.wilcox.test","Bonferroni"
"t8","t2",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t8","t3",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t8","t4",0.181535587113762,"AA10","pairwise.wilcox.test","Bonferroni"
"t8","t5",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t8","t6",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t8","t7",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t9","t0",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t9","t1",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t9","t10",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t9","t2",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t9","t3",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t9","t4",0.00586715822208375,"AA10","pairwise.wilcox.test","Bonferroni"
"t9","t5",0.563658121156649,"AA10","pairwise.wilcox.test","Bonferroni"
"t9","t6",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t9","t7",0.740642899127776,"AA10","pairwise.wilcox.test","Bonferroni"
"t9","t8",1,"AA10","pairwise.wilcox.test","Bonferroni"
"t1","t0",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t10","t0",0.0366300366300366,"AA2","pairwise.wilcox.test","Bonferroni"
"t10","t1",0.523809523809524,"AA2","pairwise.wilcox.test","Bonferroni"
"t2","t0",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t2","t1",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t2","t10",0.0366300366300366,"AA2","pairwise.wilcox.test","Bonferroni"
"t3","t0",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t3","t1",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t3","t10",0.523809523809524,"AA2","pairwise.wilcox.test","Bonferroni"
"t3","t2",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t4","t0",0.0683760683760684,"AA2","pairwise.wilcox.test","Bonferroni"
"t4","t1",0.333333333333333,"AA2","pairwise.wilcox.test","Bonferroni"
"t4","t10",0.0641025641025641,"AA2","pairwise.wilcox.test","Bonferroni"
"t4","t2",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t4","t3",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t5","t0",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t5","t1",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t5","t10",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t5","t2",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t5","t3",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t5","t4",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t6","t0",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t6","t1",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t6","t10",0.119047619047619,"AA2","pairwise.wilcox.test","Bonferroni"
"t6","t2",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t6","t3",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t6","t4",0.128205128205128,"AA2","pairwise.wilcox.test","Bonferroni"
"t6","t5",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t7","t0",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t7","t1",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t7","t10",0.523809523809524,"AA2","pairwise.wilcox.test","Bonferroni"
"t7","t2",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t7","t3",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t7","t4",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t7","t5",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t7","t6",1,"AA2","pairwise.wilcox.test","Bonferroni"
