species,phylum,enzyme_class,genes_per_genome,distinct_enzymes
14-2 sp000403255,Firmicutes,GT,1.75,4
14-2 sp001940225,Firmicutes,GT,13.1875,16
51-20 sp001917175,Proteobacteria,GT,5.28571428571429,14
992a sp001940245,Firmicutes,GT,44.5555555555556,18
Absiella innocuum,Firmicutes,GT,10.4545454545455,11
AC2028 sp000702085,Firmicutes,GT,2,4
AC2028 sp000702685,Firmicutes,GT,4.33333333333333,9
AC2028 sp002373975,Firmicutes,GT,1.75,4
Acetatifactor muris,Firmicutes,GT,21.5833333333333,12
Acetatifactor sp002314715,Firmicutes,GT,12.5,10
Acetatifactor sp003447295,Firmicutes,GT,2,2
Acetatifactor sp900066365,Firmicutes,GT,43.5,22
Acetatifactor sp900066565,Firmicutes,GT,6.66666666666667,9
Acetatifactor sp900320485,Firmicutes,GT,9.4,10
Acetitomaculum ruminis,Firmicutes,GT,9.54545454545454,11
Acetivibrio_A ethanolgignens,Firmicutes,GT,44.8235294117647,17
Acidaminococcus fermentans,Firmicutes,GT,18.8823529411765,17
Acidaminococcus sp000437815,Firmicutes,GT,1.33333333333333,3
Acidaminococcus timonensis,Firmicutes,GT,1.5,2
Acinetobacter lwoffii_B,Proteobacteria,GT,3.42857142857143,7
Acinetobacter sp002934695,Proteobacteria,GT,1.16666666666667,6
Actinobacillus_A minor,Proteobacteria,GT,2.30769230769231,13
Actinobacillus_A porcitonsillarum,Proteobacteria,GT,5.61538461538462,13
Actinobacillus_B seminis,Proteobacteria,GT,6.38461538461539,13
Actinomyces denticolens,Actinobacteriota,GT,5,9
Actinomyces urogenitalis,Actinobacteriota,GT,1,2
Acutalibacter sp000435395,Firmicutes,GT,73.7777777777778,9
Adlercreutzia caecimuris,Actinobacteriota,GT,2,2
Adlercreutzia equolifaciens,Actinobacteriota,GT,24.5,4
Adlercreutzia mucosicola,Actinobacteriota,GT,13.6,5
Aerococcus suis,Firmicutes,GT,19.7142857142857,7
Aerococcus urinaeequi,Firmicutes,GT,3.375,8
Agathobacter faecis,Firmicutes,GT,64.8518518518519,27
Agathobacter rectale,Firmicutes,GT,101.3,30
Agathobacter ruminis,Firmicutes,GT,9.77777777777778,9
Agathobacter sp000434275,Firmicutes,GT,152.653846153846,26
Agathobacter sp900316805,Firmicutes,GT,12.7,10
Agathobacter sp900317585,Firmicutes,GT,115.214285714286,28
Agathobaculum butyriciproducens,Firmicutes,GT,59.6666666666667,12
Akkermansia sp002358905,Other Phyla,GT,22.6153846153846,13
Alistipes finegoldii,Bacteroidota,GT,5.46153846153846,13
Alistipes obesi,Bacteroidota,GT,2,8
Alistipes onderdonkii,Bacteroidota,GT,9.35714285714286,14
Alistipes senegalensis,Bacteroidota,GT,10.8888888888889,18
Alistipes shahii,Bacteroidota,GT,54.2352941176471,17
Alistipes sp002362235,Bacteroidota,GT,3.63636363636364,11
Alistipes sp900290115,Bacteroidota,GT,1.66666666666667,3
Allisonella histaminiformans,Firmicutes,GT,6.41666666666667,12
An172 sp002160515,Firmicutes,GT,86.2,15
Anaerocolumna aminovalerica,Firmicutes,GT,1.4,5
Anaerocolumna sp000702945,Firmicutes,GT,4.25,4
Anaerofilum sp002160015,Firmicutes,GT,5.42857142857143,7
Anaerofustis stercorihominis,Firmicutes,GT,1.66666666666667,6
Anaeromassilibacillus sp002159845,Firmicutes,GT,3.85714285714286,7
Anaerorhabdus furcosa,Firmicutes,GT,84.5555555555556,9
