enzymeID	genus	sum	sd	percentage_genus
AA1	Avibacterium	1		100
AA10	Enterobacter	8	0	2.71186440677966
AA10	Enterococcus	24	0	8.13559322033898
AA10	Enterococcus_B	249	1.32557511810211	84.406779661017
AA10	Enterococcus_D	2	0	0.677966101694915
AA10	F23-B02	1		0.338983050847458
AA10	Lactobacillus_F	4	0	1.35593220338983
AA10	Pseudomonas	5	0	1.69491525423729
AA10	Ruminococcus_E	1		0.338983050847458
AA10	UBA7102	1		0.338983050847458
AA2	Clostridium	4	0	28.5714285714286
AA2	Comamonas	2	0	14.2857142857143
AA2	Dorea	1		7.14285714285714
AA2	Romboutsia	3	0	21.4285714285714
AA2	Terrisporobacter	4	0	28.5714285714286
AA3	Acetatifactor	1		0.144508670520231
AA3	Acinetobacter	3	0	0.433526011560694
AA3	CAG-245	8	0	1.15606936416185
AA3	CAG-269	1		0.144508670520231
AA3	CAG-452	1		0.144508670520231
AA3	Comamonas	20	0.404519917477945	2.89017341040462
AA3	Corynebacterium	144	0.442291530393106	20.8092485549133
AA3	Desulfovibrio	14	0	2.02312138728324
AA3	Dietzia	13	0.517549169506766	1.87861271676301
AA3	Enterobacter	9	0	1.30057803468208
AA3	Escherichia	131	0.0877058019307029	18.9306358381503
AA3	Glutamicibacter	1		0.144508670520231
AA3	Klebsiella	3		0.433526011560694
AA3	Lactobacillus_B	3	0.707106781186548	0.433526011560694
AA3	Methanobrevibacter_A	272	0.182730700382303	39.3063583815029
AA3	Methanobrevibacter_B	4	0	0.578034682080925
AA3	Methanosphaera	9	0	1.30057803468208
AA3	Prevotella	5	0	0.722543352601156
AA3	Pseudomonas	34	1.71269767715535	4.91329479768786
AA3	Psychrobacter	2		0.289017341040462
AA3	Staphylococcus	4	0	0.578034682080925
AA3	UBA1067	10	0	1.44508670520231
AA4	Acetatifactor	2	0	0.0443557329784875
AA4	Acidaminococcus	39	0.923548145182799	0.864936793080506
AA4	Acinetobacter	3	0	0.0665335994677312
AA4	Adlercreutzia	6	0	0.133067198935462
AA4	Aerococcus	11	0	0.243956531381681
AA4	Agathobacter	6	0.447213595499958	0.133067198935462
AA4	Agathobaculum	70	0.120385853085769	1.55245065424706
AA4	Akkermansia	9	0.353553390593274	0.199600798403194
AA4	Alcaligenes	2		0.0443557329784875
AA4	Alistipes	1		0.0221778664892437
AA4	Anaerostipes	3	0	0.0665335994677312
AA4	Anaerotruncus	1		0.0221778664892437
AA4	Anaerovibrio	6	0	0.133067198935462
