enzymeID	species	sum	sd	percentage_species
AA1	Actinobacillus_B seminis	1		100
AA10	Enterobacter himalayensis	8	0	2.71186440677966
AA10	Enterococcus faecalis	24	0	8.13559322033898
AA10	Enterococcus_B durans	34	1.92209376577847	11.5254237288136
AA10	Enterococcus_B faecium	6	0	2.03389830508475
AA10	Enterococcus_B faecium_B	8	0	2.71186440677966
AA10	Enterococcus_B hirae	156	0.724568837309472	52.8813559322034
AA10	Enterococcus_B villorum	45	1.90029237516523	15.2542372881356
AA10	Enterococcus_D casseliflavus	2	0	0.677966101694915
AA10	F23-B02 sp000431075	1		0.338983050847458
AA10	Lactobacillus_F plantarum	4	0	1.35593220338983
AA10	Pseudomonas aeruginosa	5	0	1.69491525423729
AA10	Ruminococcus_E sp003521625	1		0.338983050847458
AA10	UBA1685 sp002320595	1		0.338983050847458
AA2	Clostridium disporicum	1		7.14285714285714
AA2	Clostridium sp000435835	3	0	21.4285714285714
AA2	Comamonas kerstersii	2	0	14.2857142857143
AA2	Dorea sp000433215	1		7.14285714285714
AA2	Romboutsia timonensis	3	0	21.4285714285714
AA2	Terrisporobacter othiniensis	4	0	28.5714285714286
AA3	Acetatifactor sp900066365	1		0.144508670520231
AA3	Acinetobacter lwoffii_B	2	0	0.289017341040462
AA3	Acinetobacter sp002934695	1		0.144508670520231
AA3	Bilophila wadsworthia	14	0	2.02312138728324
AA3	CAG-245 sp000435175	8	0	1.15606936416185
AA3	CAG-269 sp001916065	1		0.144508670520231
AA3	CAG-452 sp000434035	1		0.144508670520231
AA3	Comamonas kerstersii	20	0.404519917477945	2.89017341040462
AA3	Corynebacterium amycolatum	2	0	0.289017341040462
AA3	Corynebacterium stationis	71	0.448574979457305	10.2601156069364
AA3	Corynebacterium variabile	1		0.144508670520231
AA3	Corynebacterium xerosis	70	0	10.1156069364162
AA3	Dietzia maris	1		0.144508670520231
AA3	Dietzia sp002441635	12	0.487950036474267	1.73410404624277
AA3	Enterobacter himalayensis	9	0	1.30057803468208
AA3	Escherichia coli	4	0	0.578034682080925
AA3	Escherichia dysenteriae	4	0	0.578034682080925
AA3	Escherichia flexneri	123	0.0905357460425185	17.7745664739884
AA3	Glutamicibacter mysorens	1		0.144508670520231
AA3	Klebsiella pneumoniae	3		0.433526011560694
AA3	Lactobacillus_B salivarius	3	0.707106781186548	0.433526011560694
AA3	Methanobrevibacter_A gottschalkii	139	0.147417862363388	20.0867052023121
AA3	Methanobrevibacter_A smithii	133	0.214256873289839	19.2196531791908
AA3	Methanobrevibacter_B wolinii	4	0	0.578034682080925
AA3	Methanosphaera cuniculi	6	0	0.867052023121387
AA3	Methanosphaera sp900322125	3	0	0.433526011560694
AA3	Prevotella copri	2	0	0.289017341040462
AA3	Prevotella sp002251245	1		0.144508670520231
AA3	Prevotella sp002251365	1		0.144508670520231
