species,cor,pval,padj,correlation_tested
14-2 sp001940225,0.0214374782333932,0.950115811536815,1,corr_t4speciesAbundance_with_t10Host_weight
992a sp001940245,-0.0117394830691148,0.966878701818987,1,corr_t4speciesAbundance_with_t10Host_weight
Acetatifactor sp900066365,0.00840793078949959,0.968896824625656,1,corr_t4speciesAbundance_with_t10Host_weight
Acetivibrio_A ethanolgignens,-0.19926062890467,0.476482324807617,1,corr_t4speciesAbundance_with_t10Host_weight
Acidaminococcus fermentans,-0.027705162047943,0.928411985449496,1,corr_t4speciesAbundance_with_t10Host_weight
Acutalibacter sp000435395,0.203852207745027,0.233057666795195,1,corr_t4speciesAbundance_with_t10Host_weight
Aerococcus suis,0.210192570837783,0.535029377778625,1,corr_t4speciesAbundance_with_t10Host_weight
Agathobacter faecis,-0.008965997009542,0.953937686349318,1,corr_t4speciesAbundance_with_t10Host_weight
Agathobacter rectale,-0.0412421977220278,0.780766068343422,1,corr_t4speciesAbundance_with_t10Host_weight
Agathobacter sp000434275,-0.0996184375374735,0.473559360591361,1,corr_t4speciesAbundance_with_t10Host_weight
Agathobacter sp900317585,0.0847366897268053,0.530853711312278,1,corr_t4speciesAbundance_with_t10Host_weight
Agathobaculum butyriciproducens,-0.00687879345722088,0.96139872682381,1,corr_t4speciesAbundance_with_t10Host_weight
Alistipes shahii,0.0680248189064348,0.825242161314599,1,corr_t4speciesAbundance_with_t10Host_weight
An172 sp002160515,-0.103273603800804,0.53155351286877,1,corr_t4speciesAbundance_with_t10Host_weight
Anaerorhabdus furcosa,0.0458538665461074,0.806502355043799,1,corr_t4speciesAbundance_with_t10Host_weight
Anaerovibrio sp000622005,0.496162700746674,0.0846157258080523,1,corr_t4speciesAbundance_with_t10Host_weight
Anaerovibrio sp002100115,-0.0527643613042938,0.724658940026657,1,corr_t4speciesAbundance_with_t10Host_weight
Angelakisella sp003453215,0.056787940608236,0.677619999894629,1,corr_t4speciesAbundance_with_t10Host_weight
Bacillus_A thuringiensis_J,-0.495244256363919,0.0432430196515101,1,corr_t4speciesAbundance_with_t10Host_weight
Bacteroides fragilis,-0.266708772534719,0.242526992408992,1,corr_t4speciesAbundance_with_t10Host_weight
Bacteroides massiliensis,0.222609093041165,0.407285328155706,1,corr_t4speciesAbundance_with_t10Host_weight
Bacteroides pyogenes,0.0288046475102257,0.912615383602421,1,corr_t4speciesAbundance_with_t10Host_weight
Bacteroides_B vulgatus,-0.163991860446229,0.354052691255956,1,corr_t4speciesAbundance_with_t10Host_weight
Bifidobacterium animalis,0.0166210541670885,0.925667004692857,1,corr_t4speciesAbundance_with_t10Host_weight
Bifidobacterium boum,-0.0375014764064963,0.793886957039309,1,corr_t4speciesAbundance_with_t10Host_weight
Bifidobacterium choerinum,-0.711238260803231,0.00949880968053441,1,corr_t4speciesAbundance_with_t10Host_weight
Bifidobacterium pseudolongum,-0.0782131522533595,0.670479249196864,1,corr_t4speciesAbundance_with_t10Host_weight
Bifidobacterium thermacidophilum,0.0983040548643555,0.497023129091572,1,corr_t4speciesAbundance_with_t10Host_weight
Bilophila wadsworthia,0.43120163844001,0.161648795279245,1,corr_t4speciesAbundance_with_t10Host_weight
Blautia sp000436935,0.0260400006331617,0.926604513111631,1,corr_t4speciesAbundance_with_t10Host_weight
Blautia_A massiliensis,0.116040999174442,0.390015076029393,1,corr_t4speciesAbundance_with_t10Host_weight
Blautia_A obeum,0.0316673756245395,0.816778694742614,1,corr_t4speciesAbundance_with_t10Host_weight
Blautia_A sp000285855,0.218817390566614,0.105178673914138,1,corr_t4speciesAbundance_with_t10Host_weight
Blautia_A sp000433815,-0.00963778287019472,0.966927430350698,1,corr_t4speciesAbundance_with_t10Host_weight
Blautia_A sp900066165,-0.107480143883437,0.503580137819584,1,corr_t4speciesAbundance_with_t10Host_weight
Blautia_A sp900066205,0.00249433558908879,0.985857401627987,1,corr_t4speciesAbundance_with_t10Host_weight
Blautia_A sp900066355,-0.00938728121625111,0.958650142130001,1,corr_t4speciesAbundance_with_t10Host_weight
Blautia_A sp900066505,-0.358009349452579,0.0858481163749227,1,corr_t4speciesAbundance_with_t10Host_weight
Blautia_A wexlerae,0.133901988194978,0.32069929505491,1,corr_t4speciesAbundance_with_t10Host_weight
Butyricicoccus pullicaecorum,-0.301562790895356,0.274698814244268,1,corr_t4speciesAbundance_with_t10Host_weight
Butyricicoccus_A porcorum,-0.189134536017511,0.17931382915604,1,corr_t4speciesAbundance_with_t10Host_weight
Butyricicoccus_A sp002395695,0.0105287962360087,0.94035389813281,1,corr_t4speciesAbundance_with_t10Host_weight
Butyricimonas virosa,0.331160661076623,0.293040472154251,1,corr_t4speciesAbundance_with_t10Host_weight
C941 sp002476625,-0.0387228612246712,0.774892270604424,1,corr_t4speciesAbundance_with_t10Host_weight
C941 sp900321725,-0.0812972293656332,0.705699345903942,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-1000 sp000434555,-0.248840712283177,0.0696054129823336,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-1000 sp000436975,-0.199327262249606,0.189277665798348,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-1024 sp000432015,-0.223063999008316,0.115626154604938,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-103 sp000432375,-0.322325089877305,0.0328570110021899,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-103 sp900317855,0.123131223881622,0.361503515422444,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-1031 sp000431215,0.0971411985807241,0.692385078606133,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-110 sp000434635,0.382526491046348,0.0405610647706538,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-110 sp002362145,-0.0229100426724512,0.879875557869399,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-110 sp002362625,-0.0883351990896943,0.784858500933673,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-110 sp002437585,0.173801646015398,0.196021802485689,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-110 sp002493965,-0.398423929765241,0.0239087356582946,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-110 sp003525905,0.014998150635432,0.92029753415437,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-1138 sp000434675,-0.326555247665342,0.276161637162307,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-1193 sp000436255,-0.181892890678144,0.295668395844264,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-127 sp900319515,0.131079478482628,0.628468730895621,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-145 sp000435615,0.0821203291295055,0.614431817402496,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-145 sp002320005,-0.116892888312016,0.386520857031091,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-170 sp000432135,0.0183551715470319,0.902535938911388,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-170 sp000436735,0.0608876814645161,0.758246887735752,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-170 sp002298695,-0.03158714802029,0.818920966837782,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-170 sp002404795,-0.0509962391883086,0.706375279108206,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-170 sp003516765,-0.0819807099952519,0.544348581112006,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-177 sp000431775,0.081961774305536,0.76283454018494,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-177 sp003514385,0.0748528345879065,0.580000727766894,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-177 sp003538135,0.616725117704651,0.0432775441395605,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-180 sp002490525,0.218022798532515,0.155103352268534,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-196 sp002102975,0.228340228443279,0.233504581895206,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-217 sp000436335,0.0712395891585443,0.713448262850109,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-245 sp000435175,-0.0956226052787894,0.495804016824102,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-269 sp000431335,0.0154251881039575,0.91016159938687,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-269 sp001916005,0.136767227498708,0.523957317812829,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-269 sp001916035,-0.333877345023129,0.206292501071876,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-269 sp001916055,0.0100644521051471,0.943546347168586,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-269 sp001916065,0.0944819751091233,0.51398000089857,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-269 sp002372935,-0.314820477830189,0.153570765603569,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-269 sp003518755,-0.234985338930592,0.462230634038443,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-269 sp003525075,0.152895405901523,0.269696172309527,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-272 sp000433515,-0.129971464785064,0.574440226088648,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-273 sp003507395,-0.02054252346867,0.92957290104521,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-273 sp003534295,-0.00116525159200173,0.994865052650211,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-279 sp000437795,0.083176089726919,0.557722126727538,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-302 sp000431795,-0.017740284533524,0.915809651931689,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-302 sp001916775,-0.420554681971364,0.00112494934612878,0.467978927989574,corr_t4speciesAbundance_with_t10Host_weight
CAG-349 sp003539515,0.000908659813176949,0.995003136736879,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-390 sp003523225,-0.123132286822008,0.487826388919544,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-41 sp900066215,-0.248725856304569,0.460813147262528,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-417 sp000432835,-0.0476442690761839,0.855911201749261,1,corr_t4speciesAbundance_with_t10Host_weight
