date,species,cor,pval,padj,correlation_tested
t0,14-2 sp001940225,-0.457803265243247,0.0997466447215086,1,corr_SpeciesAbundance_with_Host_weight
t0,992a sp001940245,-0.063744847105135,0.752096574502698,1,corr_SpeciesAbundance_with_Host_weight
t0,Acetatifactor sp900066365,0.0384501464543643,0.848988678980596,1,corr_SpeciesAbundance_with_Host_weight
t0,Acetivibrio_A ethanolgignens,0.206376501911998,0.29204362248025,1,corr_SpeciesAbundance_with_Host_weight
t0,Acidaminococcus fermentans,-0.260608569677339,0.329629368919982,1,corr_SpeciesAbundance_with_Host_weight
t0,Acutalibacter sp000435395,-0.0331305753591625,0.813814862106068,1,corr_SpeciesAbundance_with_Host_weight
t0,Adlercreutzia equolifaciens,0.25219676782179,0.384387017122974,1,corr_SpeciesAbundance_with_Host_weight
t0,Aerococcus suis,0.490172254659619,0.0457721144354479,1,corr_SpeciesAbundance_with_Host_weight
t0,Agathobacter faecis,-0.0255261491965679,0.832650249837153,1,corr_SpeciesAbundance_with_Host_weight
t0,Agathobacter rectale,0.128069271843833,0.273516483224658,1,corr_SpeciesAbundance_with_Host_weight
t0,Agathobacter sp000434275,-0.142667217975744,0.195455538951223,1,corr_SpeciesAbundance_with_Host_weight
t0,Agathobacter sp900316805,0.11201253296905,0.715616978085441,1,corr_SpeciesAbundance_with_Host_weight
t0,Agathobacter sp900317585,-0.139865904523966,0.176422498011341,1,corr_SpeciesAbundance_with_Host_weight
t0,Agathobaculum butyriciproducens,-0.0971579217737482,0.388206625270164,1,corr_SpeciesAbundance_with_Host_weight
t0,Alistipes senegalensis,0.306243288009871,0.359709522180573,1,corr_SpeciesAbundance_with_Host_weight
t0,Alistipes shahii,0.127224493284248,0.510751012769752,1,corr_SpeciesAbundance_with_Host_weight
t0,An172 sp002160515,-0.00865697637463804,0.942052842415663,1,corr_SpeciesAbundance_with_Host_weight
t0,Anaerorhabdus furcosa,0.0825875015175386,0.594058153800105,1,corr_SpeciesAbundance_with_Host_weight
t0,Anaerovibrio lipolyticus,0.102574338271293,0.727136249866062,1,corr_SpeciesAbundance_with_Host_weight
t0,Anaerovibrio sp000622005,-0.0603605089310773,0.837590092718628,1,corr_SpeciesAbundance_with_Host_weight
t0,Anaerovibrio sp002100115,-0.150901180762677,0.199364413707854,1,corr_SpeciesAbundance_with_Host_weight
t0,Angelakisella sp003453215,0.157656597708582,0.115355365624055,1,corr_SpeciesAbundance_with_Host_weight
t0,Bacillus_A thuringiensis_J,0.168979339324752,0.390012842971815,1,corr_SpeciesAbundance_with_Host_weight
t0,Bacteroides faecichinchillae,0.00863616865480892,0.979894939973785,1,corr_SpeciesAbundance_with_Host_weight
t0,Bacteroides fragilis,-0.207577583324745,0.211108358633636,1,corr_SpeciesAbundance_with_Host_weight
t0,Bacteroides massiliensis,0.203905530797174,0.328245347909362,1,corr_SpeciesAbundance_with_Host_weight
t0,Bacteroides pyogenes,0.365933059550359,0.0786490964088441,1,corr_SpeciesAbundance_with_Host_weight
t0,Bacteroides uniformis,-0.33695744853294,0.185980533024895,1,corr_SpeciesAbundance_with_Host_weight
t0,Bacteroides_B vulgatus,-0.166634222406609,0.21965164113273,1,corr_SpeciesAbundance_with_Host_weight
t0,Bifidobacterium animalis,-0.0249218287651594,0.859402536551809,1,corr_SpeciesAbundance_with_Host_weight
t0,Bifidobacterium boum,-0.14771081569539,0.172149437997204,1,corr_SpeciesAbundance_with_Host_weight
t0,Bifidobacterium choerinum,-0.0860839109873099,0.760332652403193,1,corr_SpeciesAbundance_with_Host_weight
t0,Bifidobacterium pseudolongum,-0.180497210479388,0.214573653134451,1,corr_SpeciesAbundance_with_Host_weight
t0,Bifidobacterium thermacidophilum,-0.0658140222475713,0.540024501762187,1,corr_SpeciesAbundance_with_Host_weight
t0,Bilophila wadsworthia,-0.0037797241036903,0.986681045952165,1,corr_SpeciesAbundance_with_Host_weight
t0,Blautia sp000436935,-0.339445912696701,0.096904855952322,1,corr_SpeciesAbundance_with_Host_weight
t0,Blautia_A massiliensis,-0.0929810663570248,0.362490221969833,1,corr_SpeciesAbundance_with_Host_weight
t0,Blautia_A obeum,-0.0393005703628851,0.725923114298661,1,corr_SpeciesAbundance_with_Host_weight
t0,Blautia_A sp000285855,-0.143857849328873,0.176143162362444,1,corr_SpeciesAbundance_with_Host_weight
t0,Blautia_A sp000433815,-0.0282752705943933,0.875877676199455,1,corr_SpeciesAbundance_with_Host_weight
t0,Blautia_A sp900066165,-0.0867595288512145,0.528801570738257,1,corr_SpeciesAbundance_with_Host_weight
t0,Blautia_A sp900066205,-0.306618652324459,0.00706088648021434,1,corr_SpeciesAbundance_with_Host_weight
t0,Blautia_A sp900066355,-0.0673235183928651,0.679783671681329,1,corr_SpeciesAbundance_with_Host_weight
t0,Blautia_A sp900066505,-0.121763856497743,0.485926393667354,1,corr_SpeciesAbundance_with_Host_weight
t0,Blautia_A wexlerae,0.0508455629492922,0.608238304825868,1,corr_SpeciesAbundance_with_Host_weight
t0,Butyricicoccus pullicaecorum,-0.153734136843657,0.51755718241923,1,corr_SpeciesAbundance_with_Host_weight
t0,Butyricicoccus_A porcorum,0.0859280361872972,0.460481120742127,1,corr_SpeciesAbundance_with_Host_weight
t0,Butyricicoccus_A sp002395695,-0.139313203484521,0.203515976691145,1,corr_SpeciesAbundance_with_Host_weight
t0,Butyricimonas virosa,-0.273532166589075,0.195898690612546,1,corr_SpeciesAbundance_with_Host_weight
t0,Butyrivibrio fibrisolvens_C,0.266678142896516,0.402101957537924,1,corr_SpeciesAbundance_with_Host_weight
t0,Butyrivibrio_A crossotus,0.332565518148062,0.290872604155306,1,corr_SpeciesAbundance_with_Host_weight
t0,C941 sp002476625,0.0392924211979985,0.697916777246105,1,corr_SpeciesAbundance_with_Host_weight
t0,C941 sp900321725,-0.0422460325872256,0.795766136595332,1,corr_SpeciesAbundance_with_Host_weight
t0,CAG-1000 sp000434555,0.0529718030349843,0.618002240711152,1,corr_SpeciesAbundance_with_Host_weight
t0,CAG-1000 sp000436975,0.209490568014018,0.0693336627274524,1,corr_SpeciesAbundance_with_Host_weight
t0,CAG-1024 sp000432015,0.0571362994942061,0.596975700112646,1,corr_SpeciesAbundance_with_Host_weight
t0,CAG-103 sp000432375,0.220748809388145,0.0683434947349928,1,corr_SpeciesAbundance_with_Host_weight
t0,CAG-103 sp900317855,-0.113409048254953,0.281754823404468,1,corr_SpeciesAbundance_with_Host_weight
t0,CAG-1031 sp000431215,-0.245788523634625,0.16116153223398,1,corr_SpeciesAbundance_with_Host_weight
t0,CAG-110 sp000434635,-0.107552352542901,0.457218381088833,1,corr_SpeciesAbundance_with_Host_weight
t0,CAG-110 sp002362145,0.0949788487376173,0.393044715451187,1,corr_SpeciesAbundance_with_Host_weight
t0,CAG-110 sp002362625,0.223874870674149,0.356857569312599,1,corr_SpeciesAbundance_with_Host_weight
t0,CAG-110 sp002437585,0.159640178851956,0.110793031460818,1,corr_SpeciesAbundance_with_Host_weight
t0,CAG-110 sp002493965,0.173953723589135,0.217451248417439,1,corr_SpeciesAbundance_with_Host_weight
t0,CAG-110 sp003525905,0.175745603432141,0.134193845664901,1,corr_SpeciesAbundance_with_Host_weight
t0,CAG-110 sp900315595,0.403859368381098,0.192923449151313,1,corr_SpeciesAbundance_with_Host_weight
t0,CAG-1138 sp000434675,0.186770118056979,0.393486064816353,1,corr_SpeciesAbundance_with_Host_weight
t0,CAG-1193 sp000436255,0.000420600219659032,0.997591632474008,1,corr_SpeciesAbundance_with_Host_weight
t0,CAG-127 sp900319515,0.337984165476094,0.0677396717162689,1,corr_SpeciesAbundance_with_Host_weight
t0,CAG-145 sp000435615,0.182623685337233,0.1519771208351,1,corr_SpeciesAbundance_with_Host_weight
t0,CAG-145 sp002320005,0.0362237767763768,0.719122982889429,1,corr_SpeciesAbundance_with_Host_weight
t0,CAG-170 sp000432135,0.0358996620996562,0.779992534373403,1,corr_SpeciesAbundance_with_Host_weight
t0,CAG-170 sp000436735,0.171966920601716,0.270169176465188,1,corr_SpeciesAbundance_with_Host_weight
