Comparison,Z,P.unadj,P.adj,axis,group,group_analyzed,test,correction
2017-01-06 - 2017-01-07,-2.5562880078095,0.0105795513237029,0.158693269855543,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-06 - 2017-01-08,-2.6792219538398,0.00737934611858458,0.110690191778769,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-07 - 2017-01-08,0.544021412667226,0.586426737967366,1,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-06 - 2017-01-09,-2.332114868911,0.0196946490432576,0.295419735648865,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-07 - 2017-01-09,0.860180453536662,0.389689577647399,1,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-08 - 2017-01-09,0.462809446571731,0.643500959444266,1,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-06 - 2017-01-10,-1.05324643418294,0.292228061944802,1,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-07 - 2017-01-10,2.00829046577167,0.0446124344493375,0.669186516740063,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-08 - 2017-01-10,2.13489545648479,0.03276955054978,0.4915432582467,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-09 - 2017-01-10,1.67725722748761,0.0934921926982395,1,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-06 - 2017-01-11,-1.62824228886551,0.103473521125354,1,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-07 - 2017-01-11,1.66455037956906,0.0960024920172751,1,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-08 - 2017-01-11,1.70260852003493,0.0886413545672541,1,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-09 - 2017-01-11,1.18602078175933,0.235614092634588,1,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-10 - 2017-01-11,-0.697482086340023,0.485501146244075,1,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-06 - 2017-01-07,2.39418193902158,0.0166574836695473,0.24986225504321,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-06 - 2017-01-08,2.32134377818748,0.0202682972622823,0.304024458934235,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-07 - 2017-01-08,-0.680738835745901,0.496036758134184,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-06 - 2017-01-09,3.3251399427113,0.00088374164886676,0.0132561247330014,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-07 - 2017-01-09,0.233558931092736,0.815327414169044,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-08 - 2017-01-09,1.33839488603176,0.180767745085715,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-06 - 2017-01-10,1.44126559687885,0.149509662662328,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-07 - 2017-01-10,-1.4662297648333,0.142585702302368,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-08 - 2017-01-10,-1.14821843942085,0.250878398953537,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-09 - 2017-01-10,-2.47165872327756,0.0134487835052487,0.201731752578731,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-06 - 2017-01-11,2.02816536063755,0.0425433739409666,0.638150609114499,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-07 - 2017-01-11,-1.10547856730075,0.268952276370452,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-08 - 2017-01-11,-0.608809304639161,0.542650845459851,1,Axis.2,t2,all,Dunn.test,Bonferroni
