Comparison,Z,P.unadj,P.adj,axis,group,group_analyzed,test,correction
DxL - DxLW,-1.05183050849447,0.292877319074889,1,Axis.1,t0,all,Dunn.test,Bonferroni
DxL - LWxD,-2.08895385131729,0.0367118775568006,0.220271265340804,Axis.1,t0,all,Dunn.test,Bonferroni
DxLW - LWxD,-1.47156699693949,0.141137843204486,0.846827059226914,Axis.1,t0,all,Dunn.test,Bonferroni
DxL - LxLWD,2.39216465989211,0.0167493261687805,0.100495957012683,Axis.1,t0,all,Dunn.test,Bonferroni
DxLW - LxLWD,3.01867116244975,0.00253885940851051,0.015233156451063,Axis.1,t0,all,Dunn.test,Bonferroni
LWxD - LxLWD,3.52001749368054,0.000431518336504701,0.00258911001902821,Axis.1,t0,all,Dunn.test,Bonferroni
DxL - DxLW,-0.597578739731393,0.550121053590375,1,Axis.2,t0,all,Dunn.test,Bonferroni
DxL - LWxD,-0.0817206483501442,0.934868858267891,1,Axis.2,t0,all,Dunn.test,Bonferroni
DxLW - LWxD,0.292620118413354,0.769812534293012,1,Axis.2,t0,all,Dunn.test,Bonferroni
DxL - LxLWD,1.23738589241901,0.21594385372308,1,Axis.2,t0,all,Dunn.test,Bonferroni
DxLW - LxLWD,1.5912823243906,0.111546052879895,0.669276317279368,Axis.2,t0,all,Dunn.test,Bonferroni
LWxD - LxLWD,1.08486369111915,0.277982031383197,1,Axis.2,t0,all,Dunn.test,Bonferroni
DxL - DxLW,0.569771800352351,0.568832484255464,1,Axis.1,t2,all,Dunn.test,Bonferroni
DxL - LWxD,1.3133434044013,0.189067258953498,1,Axis.1,t2,all,Dunn.test,Bonferroni
DxLW - LWxD,0.976529711575535,0.328802031605987,1,Axis.1,t2,all,Dunn.test,Bonferroni
DxL - LxLWD,1.89514292776077,0.0580734687913132,0.348440812747879,Axis.1,t2,all,Dunn.test,Bonferroni
DxLW - LxLWD,1.61708946823709,0.105858969897972,0.635153819387832,Axis.1,t2,all,Dunn.test,Bonferroni
LWxD - LxLWD,0.659840742223039,0.509356034825754,1,Axis.1,t2,all,Dunn.test,Bonferroni
DxL - DxLW,0.12424625454112,0.901120300113144,1,Axis.2,t2,all,Dunn.test,Bonferroni
DxL - LWxD,1.56204963048394,0.118276297463729,0.709657784782376,Axis.2,t2,all,Dunn.test,Bonferroni
DxLW - LWxD,1.51907899845995,0.128742612352037,0.772455674112222,Axis.2,t2,all,Dunn.test,Bonferroni
DxL - LxLWD,2.28111342879923,0.0225417357030032,0.135250414218019,Axis.2,t2,all,Dunn.test,Bonferroni
DxLW - LxLWD,2.2522880299734,0.0243040761053303,0.145824456631982,Axis.2,t2,all,Dunn.test,Bonferroni
LWxD - LxLWD,0.807688875335255,0.419269709314081,1,Axis.2,t2,all,Dunn.test,Bonferroni
DxL - DxLW,0.660090635335316,0.509195667885468,1,Axis.1,t4,all,Dunn.test,Bonferroni
DxL - LWxD,1.24743002462763,0.212239863161073,1,Axis.1,t4,all,Dunn.test,Bonferroni
DxLW - LWxD,0.848888289606148,0.39594345561177,1,Axis.1,t4,all,Dunn.test,Bonferroni
DxL - LxLWD,0.215471112746139,0.829400031798769,1,Axis.1,t4,all,Dunn.test,Bonferroni
DxLW - LxLWD,-0.155844921585965,0.876155260891249,1,Axis.1,t4,all,Dunn.test,Bonferroni
LWxD - LxLWD,-0.738775920415849,0.4600430758985,1,Axis.1,t4,all,Dunn.test,Bonferroni
DxL - DxLW,0.820926585165825,0.411688086944447,1,Axis.2,t4,all,Dunn.test,Bonferroni
DxL - LWxD,-1.47135713590896,0.14119455906482,0.847167354388918,Axis.2,t4,all,Dunn.test,Bonferroni
DxLW - LWxD,-2.04027128470538,0.0413233132035507,0.247939879221304,Axis.2,t4,all,Dunn.test,Bonferroni
DxL - LxLWD,0.867993168098494,0.385398072707387,1,Axis.2,t4,all,Dunn.test,Bonferroni
DxLW - LxLWD,0.417377778500342,0.676402106009468,1,Axis.2,t4,all,Dunn.test,Bonferroni
LWxD - LxLWD,1.81080402232363,0.0701711934707041,0.421027160824225,Axis.2,t4,all,Dunn.test,Bonferroni
DxL - DxLW,0.0615457454896669,0.950924583799356,0.950924583799356,Axis.1,t0,subset,Dunn.test,Bonferroni
DxL - DxLW,2.21564683762799,0.0267156984471794,0.0267156984471794,Axis.2,t0,subset,Dunn.test,Bonferroni
DxL - DxLW,2.24189360954568,0.0249682491630941,0.0249682491630941,Axis.1,t2,subset,Dunn.test,Bonferroni
DxL - DxLW,-0.395628284037472,0.692379268389819,0.692379268389819,Axis.2,t2,subset,Dunn.test,Bonferroni
DxL - DxLW,-0.949671470496983,0.342279210457747,0.342279210457747,Axis.1,t4,subset,Dunn.test,Bonferroni
DxL - DxLW,0.56980288229819,0.568811400413337,0.568811400413337,Axis.2,t4,subset,Dunn.test,Bonferroni
