Comparison,Z,P.unadj,P.adj,axis,type,test,correction
1A - 1B,1.28285396117964,0.199543244894331,1,Axis.1,ctrlt0,Dunn.test,Bonferroni
1A - 1C,-0.47454694730322,0.635109928013693,1,Axis.1,ctrlt0,Dunn.test,Bonferroni
1B - 1C,-1.81444421027702,0.0696093645395244,0.417656187237146,Axis.1,ctrlt0,Dunn.test,Bonferroni
1A - 1D,-0.491353814911995,0.623176223882117,1,Axis.1,ctrlt0,Dunn.test,Bonferroni
1B - 1D,-1.70084012854152,0.0889730117018133,0.53383807021088,Axis.1,ctrlt0,Dunn.test,Bonferroni
1C - 1D,-0.0654653670707977,0.94780348023542,1,Axis.1,ctrlt0,Dunn.test,Bonferroni
1A - 1B,-1.97773319015194,0.0479588139310902,0.287752883586541,Axis.2,ctrlt0,Dunn.test,Bonferroni
1A - 1C,-2.06567494708461,0.0388591824039592,0.233155094423755,Axis.2,ctrlt0,Dunn.test,Bonferroni
1B - 1C,0,1,1,Axis.2,ctrlt0,Dunn.test,Bonferroni
1A - 1D,-1.04570170865886,0.295698773692679,1,Axis.2,ctrlt0,Dunn.test,Bonferroni
1B - 1D,0.818923024853326,0.412830332378143,1,Axis.2,ctrlt0,Dunn.test,Bonferroni
1C - 1D,0.85104977192037,0.394741705213007,1,Axis.2,ctrlt0,Dunn.test,Bonferroni
1A - 1B,-2.03188863586847,0.0421649312533629,0.126494793760089,Axis.1,ctrlt8,Dunn.test,Bonferroni
1A - 1C,0.316227766016838,0.751829634045849,1,Axis.1,ctrlt8,Dunn.test,Bonferroni
1B - 1C,2,0.0455002638963584,0.136500791689075,Axis.1,ctrlt8,Dunn.test,Bonferroni
1A - 1B,-0.717137165600636,0.47328946538009,1,Axis.2,ctrlt8,Dunn.test,Bonferroni
1A - 1C,-1.89736659610103,0.0577795711235972,0.173338713370792,Axis.2,ctrlt8,Dunn.test,Bonferroni
1B - 1C,-1.2,0.230139340443417,0.69041802133025,Axis.2,ctrlt8,Dunn.test,Bonferroni
1A - 1B,1.23590304771939,0.216494604028043,1,Axis.1,dscourt0,Dunn.test,Bonferroni
1A - 1C,-0.0938806278700343,0.925203982583637,1,Axis.1,dscourt0,Dunn.test,Bonferroni
1B - 1C,-1.38473926108301,0.166132209354452,1,Axis.1,dscourt0,Dunn.test,Bonferroni
1A - 1D,-0.323083884738314,0.746631714474405,1,Axis.1,dscourt0,Dunn.test,Bonferroni
1B - 1D,-1.48830445264699,0.136670621245067,1,Axis.1,dscourt0,Dunn.test,Bonferroni
1C - 1D,-0.247690786783347,0.804373660870733,1,Axis.1,dscourt0,Dunn.test,Bonferroni
1A - 2A,-0.465491446522253,0.641579560840905,1,Axis.1,dscourt0,Dunn.test,Bonferroni
1B - 2A,-1.75635007973522,0.0790286510909763,1,Axis.1,dscourt0,Dunn.test,Bonferroni
1C - 2A,-0.389748714678201,0.696722370311555,1,Axis.1,dscourt0,Dunn.test,Bonferroni
1D - 2A,-0.100911061282104,0.919621062299674,1,Axis.1,dscourt0,Dunn.test,Bonferroni
1A - 2B,-0.595480559355708,0.551522290283809,1,Axis.1,dscourt0,Dunn.test,Bonferroni
1B - 2B,-1.8313836070751,0.0670433063531793,1,Axis.1,dscourt0,Dunn.test,Bonferroni
1C - 2B,-0.528078531768943,0.597444830579159,1,Axis.1,dscourt0,Dunn.test,Bonferroni
1D - 2B,-0.238340570708592,0.811616956949466,1,Axis.1,dscourt0,Dunn.test,Bonferroni
